price range,win rate,size of slice
"(2755.0, 3045.0)",0.796296296,54
"(2850.0, 3150.0)",0.739583333,96
"(2945.0, 3255.0)",0.69924812,133
"(3040.0, 3360.0)",0.649425287,174
"(3135.0, 3465.0)",0.6359447,217
"(3230.0, 3570.0)",0.653696498,257
"(3325.0, 3675.0)",0.649446494,271
"(3420.0, 3780.0)",0.633116883,308
"(3515.0, 3885.0)",0.566666667,300
"(3610.0, 3990.0)",0.515923567,314
"(3705.0, 4095.0)",0.473509934,302
"(3800.0, 4200.0)",0.447761194,268
"(3895.0, 4305.0)",0.442687747,253
"(3990.0, 4410.0)",0.418918919,222
"(4085.0, 4515.0)",0.406091371,197
"(4180.0, 4620.0)",0.379888268,179
"(4275.0, 4725.0)",0.354037267,161
"(4370.0, 4830.0)",0.345323741,139
"(4465.0, 4935.0)",0.301470588,136
"(4560.0, 5040.0)",0.302325581,129
"(4655.0, 5145.0)",0.293103448,116
"(4750.0, 5250.0)",0.305785124,121
"(4845.0, 5355.0)",0.289719626,107
"(4940.0, 5460.0)",0.293577982,109
"(5035.0, 5565.0)",0.361344538,119
"(5130.0, 5670.0)",0.415384615,130
"(5225.0, 5775.0)",0.434108527,129
"(5320.0, 5880.0)",0.458646617,133
"(5415.0, 5985.0)",0.496,125
"(5510.0, 6090.0)",0.508064516,124
"(5605.0, 6195.0)",0.484375,128
"(5700.0, 6300.0)",0.504065041,123
"(5795.0, 6405.0)",0.533834586,133
"(5890.0, 6510.0)",0.551470588,136
"(5985.0, 6615.0)",0.581081081,148
"(6080.0, 6720.0)",0.564935065,154
"(6175.0, 6825.0)",0.583333333,156
"(6270.0, 6930.0)",0.6,160
"(6365.0, 7035.0)",0.591463415,164
"(6460.0, 7140.0)",0.5875,160
"(6555.0, 7245.0)",0.58125,160
"(6650.0, 7350.0)",0.60130719,153
"(6745.0, 7455.0)",0.629370629,143
"(6840.0, 7560.0)",0.64028777,139
"(6935.0, 7665.0)",0.65248227,141
"(7030.0, 7770.0)",0.659090909,132
"(7125.0, 7875.0)",0.656716418,134
"(7220.0, 7980.0)",0.651515152,132
"(7315.0, 8085.0)",0.634920635,126
"(7410.0, 8190.0)",0.608,125
"(7505.0, 8295.0)",0.558558559,111
"(7600.0, 8400.0)",0.457943925,107
"(7695.0, 8505.0)",0.434343434,99
"(7790.0, 8610.0)",0.446808511,94
"(7885.0, 8715.0)",0.428571429,91
"(7980.0, 8820.0)",0.4,80
"(8075.0, 8925.0)",0.4125,80
"(8170.0, 9030.0)",0.432432432,74
"(8265.0, 9135.0)",0.402777778,72
"(8360.0, 9240.0)",0.454545455,66
"(8455.0, 9345.0)",0.450704225,71
"(8550.0, 9450.0)",0.444444444,63
"(8645.0, 9555.0)",0.433333333,60
"(8740.0, 9660.0)",0.446428571,56
"(8835.0, 9765.0)",0.407407407,54
"(8930.0, 9870.0)",0.37254902,51
"(9025.0, 9975.0)",0.361702128,47
"(9120.0, 10080.0)",0.363636364,44
"(9215.0, 10185.0)",0.348837209,43
"(9310.0, 10290.0)",0.394736842,38
"(9405.0, 10395.0)",0.447368421,38
"(9500.0, 10500.0)",0.459459459,37
"(9595.0, 10605.0)",0.5,34
"(9690.0, 10710.0)",0.518518519,27
"(9880.0, 10920.0)",0.68,25
"(9975.0, 11025.0)",0.68,25
"(10165.0, 11235.0)",0.64,25
