price range,win rate,size of slice
"(2945.0, 3255.0)",0.75,28
"(3040.0, 3360.0)",0.6842105263157895,38
"(3135.0, 3465.0)",0.5952380952380952,42
"(3230.0, 3570.0)",0.5918367346938775,49
"(3325.0, 3675.0)",0.62,50
"(3420.0, 3780.0)",0.6785714285714286,56
"(3515.0, 3885.0)",0.639344262295082,61
"(3610.0, 3990.0)",0.5714285714285714,63
"(3705.0, 4095.0)",0.4657534246575342,73
"(3800.0, 4200.0)",0.49411764705882355,85
"(3895.0, 4305.0)",0.3855421686746988,83
"(3990.0, 4410.0)",0.4,80
"(4085.0, 4515.0)",0.4027777777777778,72
"(4180.0, 4620.0)",0.32,75
"(4275.0, 4725.0)",0.3142857142857143,70
"(4370.0, 4830.0)",0.3246753246753247,77
"(4465.0, 4935.0)",0.32098765432098764,81
"(4560.0, 5040.0)",0.33766233766233766,77
"(4655.0, 5145.0)",0.425,80
"(4750.0, 5250.0)",0.43478260869565216,92
"(4845.0, 5355.0)",0.48623853211009177,109
"(4940.0, 5460.0)",0.49264705882352944,136
"(5035.0, 5565.0)",0.480225988700565,177
"(5130.0, 5670.0)",0.5181818181818182,220
"(5225.0, 5775.0)",0.5525291828793775,257
"(5320.0, 5880.0)",0.5638629283489096,321
"(5415.0, 5985.0)",0.5861182519280206,389
"(5510.0, 6090.0)",0.5981735159817352,438
"(5605.0, 6195.0)",0.6035502958579881,507
"(5700.0, 6300.0)",0.6098807495741057,587
"(5795.0, 6405.0)",0.6130867709815079,703
"(5890.0, 6510.0)",0.6213836477987421,795
"(5985.0, 6615.0)",0.6192660550458715,872
"(6080.0, 6720.0)",0.6270661157024794,968
"(6175.0, 6825.0)",0.6254716981132076,1060
"(6270.0, 6930.0)",0.6234347048300537,1118
"(6365.0, 7035.0)",0.6188870151770658,1186
"(6460.0, 7140.0)",0.6095947063688999,1209
"(6555.0, 7245.0)",0.5962837837837838,1184
"(6650.0, 7350.0)",0.5857777777777777,1125
"(6745.0, 7455.0)",0.5675925925925925,1080
"(6840.0, 7560.0)",0.5541338582677166,1016
"(6935.0, 7665.0)",0.5393145161290323,992
"(7030.0, 7770.0)",0.507103825136612,915
"(7125.0, 7875.0)",0.5084745762711864,885
"(7220.0, 7980.0)",0.4994246260069045,869
"(7315.0, 8085.0)",0.5078979343863913,823
"(7410.0, 8190.0)",0.4980793854033291,781
"(7505.0, 8295.0)",0.48284960422163586,758
"(7600.0, 8400.0)",0.48214285714285715,728
"(7695.0, 8505.0)",0.47655068078668683,661
"(7790.0, 8610.0)",0.4737678855325914,629
"(7885.0, 8715.0)",0.4618055555555556,576
"(7980.0, 8820.0)",0.4514285714285714,525
"(8075.0, 8925.0)",0.4431137724550898,501
"(8170.0, 9030.0)",0.45073375262054505,477
"(8265.0, 9135.0)",0.46017699115044247,452
"(8360.0, 9240.0)",0.4566744730679157,427
"(8455.0, 9345.0)",0.4707379134860051,393
"(8550.0, 9450.0)",0.47645429362880887,361
"(8645.0, 9555.0)",0.47701149425287354,348
"(8740.0, 9660.0)",0.4722222222222222,324
"(8835.0, 9765.0)",0.5,300
"(8930.0, 9870.0)",0.5035971223021583,278
"(9025.0, 9975.0)",0.49800796812749004,251
"(9120.0, 10080.0)",0.475,240
"(9215.0, 10185.0)",0.4774774774774775,222
"(9310.0, 10290.0)",0.48095238095238096,210
"(9405.0, 10395.0)",0.4623115577889447,199
"(9500.0, 10500.0)",0.46994535519125685,183
"(9595.0, 10605.0)",0.4883720930232558,172
"(9690.0, 10710.0)",0.46745562130177515,169
"(9785.0, 10815.0)",0.48125,160
"(9880.0, 10920.0)",0.45751633986928103,153
"(9975.0, 11025.0)",0.45517241379310347,145
"(10070.0, 11130.0)",0.46923076923076923,130
"(10165.0, 11235.0)",0.4915254237288136,118
"(10260.0, 11340.0)",0.47368421052631576,114
"(10355.0, 11445.0)",0.5238095238095238,105
"(10450.0, 11550.0)",0.5588235294117647,102
"(10545.0, 11655.0)",0.5729166666666666,96
"(10640.0, 11760.0)",0.5402298850574713,87
"(10735.0, 11865.0)",0.5526315789473685,76
"(10830.0, 11970.0)",0.5217391304347826,69
"(10925.0, 12075.0)",0.5555555555555556,72
"(11020.0, 12180.0)",0.5428571428571428,70
"(11115.0, 12285.0)",0.5526315789473685,76
"(11210.0, 12390.0)",0.5625,80
"(11305.0, 12495.0)",0.5625,80
"(11400.0, 12600.0)",0.5405405405405406,74
"(11495.0, 12705.0)",0.4868421052631579,76
"(11590.0, 12810.0)",0.4657534246575342,73
"(11685.0, 12915.0)",0.4084507042253521,71
"(11780.0, 13020.0)",0.43478260869565216,69
"(11875.0, 13125.0)",0.44776119402985076,67
"(11970.0, 13230.0)",0.45454545454545453,66
"(12065.0, 13335.0)",0.4,60
"(12160.0, 13440.0)",0.41509433962264153,53
"(12255.0, 13545.0)",0.4375,48
"(12350.0, 13650.0)",0.40476190476190477,42
"(12445.0, 13755.0)",0.3888888888888889,36
"(12540.0, 13860.0)",0.35294117647058826,34
"(12635.0, 13965.0)",0.4117647058823529,34
"(12730.0, 14070.0)",0.4827586206896552,29
"(12825.0, 14175.0)",0.48,25
