price range,win rate,size of slice
"(2945.0, 3255.0)",0.678571429,28
"(3040.0, 3360.0)",0.542857143,35
"(3135.0, 3465.0)",0.542857143,35
"(3230.0, 3570.0)",0.416666667,36
"(3325.0, 3675.0)",0.361111111,36
"(3420.0, 3780.0)",0.379310345,29
"(3515.0, 3885.0)",0.392857143,28
"(3610.0, 3990.0)",0.515151515,33
"(3705.0, 4095.0)",0.538461538,39
"(3800.0, 4200.0)",0.568181818,44
"(3895.0, 4305.0)",0.596153846,52
"(3990.0, 4410.0)",0.54,50
"(4085.0, 4515.0)",0.543478261,46
"(4180.0, 4620.0)",0.543478261,46
"(4275.0, 4725.0)",0.510204082,49
"(4370.0, 4830.0)",0.531914894,47
"(4465.0, 4935.0)",0.5,50
"(4560.0, 5040.0)",0.456140351,57
"(4655.0, 5145.0)",0.456140351,57
"(4750.0, 5250.0)",0.471698113,53
"(4845.0, 5355.0)",0.442307692,52
"(4940.0, 5460.0)",0.489795918,49
"(5035.0, 5565.0)",0.547619048,42
"(5130.0, 5670.0)",0.578947368,38
"(5225.0, 5775.0)",0.59375,32
"(5320.0, 5880.0)",0.558823529,34
"(5415.0, 5985.0)",0.583333333,36
"(5510.0, 6090.0)",0.484848485,33
"(5605.0, 6195.0)",0.514285714,35
"(5700.0, 6300.0)",0.555555556,36
"(5795.0, 6405.0)",0.538461538,39
"(5890.0, 6510.0)",0.638888889,36
"(5985.0, 6615.0)",0.558823529,34
"(6080.0, 6720.0)",0.648648649,37
"(6175.0, 6825.0)",0.578947368,38
"(6270.0, 6930.0)",0.540540541,37
"(6365.0, 7035.0)",0.538461538,39
"(6460.0, 7140.0)",0.58974359,39
"(6555.0, 7245.0)",0.609756098,41
"(6650.0, 7350.0)",0.56097561,41
"(6745.0, 7455.0)",0.512195122,41
"(6840.0, 7560.0)",0.5,42
"(6935.0, 7665.0)",0.534883721,43
"(7030.0, 7770.0)",0.52173913,46
"(7125.0, 7875.0)",0.5,50
"(7220.0, 7980.0)",0.489795918,49
"(7315.0, 8085.0)",0.5,46
"(7410.0, 8190.0)",0.479166667,48
"(7505.0, 8295.0)",0.487804878,41
"(7600.0, 8400.0)",0.512820513,39
"(7695.0, 8505.0)",0.526315789,38
"(7790.0, 8610.0)",0.551724138,29
"(8265.0, 9135.0)",0.56,25
"(8360.0, 9240.0)",0.535714286,28
"(8455.0, 9345.0)",0.538461538,26
